國文,英文,數學,社會,自然
12,8,6,12,7
9,10,10,6,6
14,15,6,14,9
9,10,10,11,8
9,9,12,7,12
12,12,7,13,9
8,9,7,14,6
6,6,10,9,10
14,7,6,10,13
8,15,8,12,7
10,14,13,12,15
11,15,12,7,13
11,6,10,10,14
14,7,10,10,11
6,11,6,11,15
8,6,9,12,8
7,13,7,11,6
7,9,14,6,13
8,6,12,6,7
6,8,14,14,15
8,11,8,15,10
8,12,15,11,7
9,15,11,12,6
11,6,7,9,15
10,12,15,14,12
13,15,10,11,11
8,6,10,8,11
13,14,10,10,13
10,11,14,15,8
6,8,8,6,13
9,6,13,14,15
6,11,13,13,15
13,6,15,12,11
7,6,13,11,14
13,6,8,9,13
13,14,6,10,6
6,13,7,15,12
6,6,13,12,11
15,13,7,12,11
7,13,8,10,13
11,7,15,6,9
6,7,8,13,8
8,7,7,14,13
11,14,13,8,7
15,13,6,15,14
11,8,8,14,13
14,9,15,10,14
10,10,12,12,9
13,7,10,15,14
6,7,7,12,10
12,11,11,14,15
8,11,13,14,8
11,15,7,10,6
9,15,10,14,7
8,8,10,7,8
9,13,10,10,7
6,8,14,13,7
12,13,14,12,11
7,7,12,15,8
15,11,13,13,11
13,15,12,9,14
15,13,14,6,13
6,14,8,6,13
7,11,10,6,6
11,6,12,7,12
15,14,10,14,12
8,11,7,11,11
11,11,8,12,12
6,14,7,15,12
13,12,8,15,8
13,11,13,13,10
11,11,9,14,6
15,8,14,15,7
9,9,11,10,11
9,14,10,10,9
7,7,15,10,9
10,13,9,10,7
11,8,15,8,6
7,11,6,8,12
8,10,8,13,15
7,10,7,8,9
6,7,6,11,7
10,11,9,8,9
12,14,15,7,12
12,15,8,7,14
11,12,14,11,12
7,11,11,13,7
15,13,14,11,10
8,11,6,14,9
6,10,6,7,13
6,11,12,13,11
7,10,9,9,9
15,9,6,14,9
11,12,13,6,12
10,6,7,15,12
15,7,14,10,15
13,9,7,13,12
14,8,10,15,8
8,6,6,15,12
13,7,14,11,9
